,year,state,district,pvi,republican_incumbent,democratic_incumbent
0,2012,AL,1,15,True,False
1,2012,AL,2,18,True,False
2,2012,AL,3,16,True,False
3,2012,AL,4,25,True,False
4,2012,AL,5,15,True,False
5,2012,AL,6,28,True,False
6,2012,AL,7,-18,False,True
7,2012,AK,0,14,True,False
8,2012,AZ,1,4,False,False
9,2012,AZ,2,3,False,True
10,2012,AZ,3,-6,False,True
11,2012,AZ,4,17,True,False
12,2012,AZ,5,16,False,False
13,2012,AZ,6,11,True,False
14,2012,AZ,7,-12,False,True
15,2012,AZ,8,14,True,False
16,2012,AZ,9,1,False,False
17,2012,AR,1,10,True,False
18,2012,AR,2,7,True,False
19,2012,AR,3,17,True,False
20,2012,AR,4,12,False,False
21,2012,CA,1,10,False,False
22,2012,CA,2,-20,False,False
23,2012,CA,3,-2,False,True
24,2012,CA,4,10,True,False
25,2012,CA,5,-19,False,True
26,2012,CA,6,-15,False,True
27,2012,CA,7,2,True,False
28,2012,CA,8,11,False,False
29,2012,CA,9,-3,False,True
30,2012,CA,10,4,True,False
31,2012,CA,11,-17,False,True
32,2012,CA,12,-34,False,True
33,2012,CA,13,-37,False,True
34,2012,CA,14,-22,False,True
35,2012,CA,15,-15,False,False
36,2012,CA,16,-4,False,True
37,2012,CA,17,-18,False,True
38,2012,CA,18,-18,False,True
39,2012,CA,19,-16,False,True
40,2012,CA,20,-19,False,True
41,2012,CA,21,2,False,False
42,2012,CA,22,11,True,False
43,2012,CA,23,17,True,False
44,2012,CA,24,-4,False,True
45,2012,CA,25,5,True,False
46,2012,CA,26,-3,False,False
47,2012,CA,27,-9,False,True
48,2012,CA,28,-19,False,True
49,2012,CA,29,-22,False,False
50,2012,CA,30,-14,False,True
51,2012,CA,31,-3,True,False
52,2012,CA,32,-9,False,True
53,2012,CA,33,-12,False,True
54,2012,CA,34,-28,False,True
55,2012,CA,35,-12,False,True
56,2012,CA,36,3,True,False
57,2012,CA,37,-33,False,True
58,2012,CA,38,-9,False,True
59,2012,CA,39,6,True,False
60,2012,CA,40,-26,False,True
61,2012,CA,41,-5,False,False
62,2012,CA,42,11,True,False
63,2012,CA,43,-23,False,True
64,2012,CA,44,-30,False,True
65,2012,CA,45,7,True,False
66,2012,CA,46,-4,False,True
67,2012,CA,47,-5,False,False
68,2012,CA,48,7,True,False
69,2012,CA,49,4,True,False
70,2012,CA,50,14,True,False
71,2012,CA,51,-12,False,False
72,2012,CA,52,-2,True,False
73,2012,CA,53,-8,False,True
74,2012,CO,1,-18,False,True
75,2012,CO,2,-8,False,True
76,2012,CO,3,4,True,False
77,2012,CO,4,12,True,False
78,2012,CO,5,14,True,False
79,2012,CO,6,0,True,False
80,2012,CO,7,-4,False,True
81,2012,CT,1,-13,False,True
82,2012,CT,2,-6,False,True
83,2012,CT,3,-10,False,True
84,2012,CT,4,-6,False,True
85,2012,CT,5,-3,False,False
86,2012,DE,0,-8,False,True
87,2012,FL,1,21,True,False
88,2012,FL,2,5,True,False
89,2012,FL,3,13,False,False
90,2012,FL,4,19,True,False
91,2012,FL,5,-18,False,True
92,2012,FL,6,7,False,False
93,2012,FL,7,4,True,False
94,2012,FL,8,9,True,False
95,2012,FL,9,-5,False,False
96,2012,FL,10,6,True,False
97,2012,FL,11,9,True,False
98,2012,FL,12,6,True,False
99,2012,FL,13,1,True,False
100,2012,FL,14,-12,False,True
101,2012,FL,15,8,True,False
102,2012,FL,16,5,True,False
103,2012,FL,17,10,True,False
104,2012,FL,18,2,True,False
105,2012,FL,19,11,False,False
106,2012,FL,20,-28,False,True
107,2012,FL,21,-11,False,True
108,2012,FL,22,-4,False,False
109,2012,FL,23,-9,False,True
110,2012,FL,24,-33,False,True
111,2012,FL,25,7,True,False
112,2012,FL,26,3,True,False
113,2012,FL,27,5,True,False
114,2012,GA,1,9,True,False
115,2012,GA,2,-4,False,True
116,2012,GA,3,19,True,False
117,2012,GA,4,-18,False,True
118,2012,GA,5,-31,False,True
119,2012,GA,6,14,True,False
120,2012,GA,7,15,True,False
121,2012,GA,8,15,True,False
122,2012,GA,9,28,False,False
123,2012,GA,10,13,True,False
124,2012,GA,11,19,True,False
125,2012,GA,12,9,False,True
126,2012,GA,13,-13,False,True
127,2012,GA,14,25,True,False
128,2012,HI,1,-14,False,True
129,2012,HI,2,-18,False,False
130,2012,ID,1,18,True,False
131,2012,ID,2,16,True,False
