year,state_po,district,republican_victory
2024,AL,1,TRUE
2024,AL,2,FALSE
2024,AL,3,TRUE
2024,AL,4,TRUE
2024,AL,5,TRUE
2024,AL,6,TRUE
2024,AL,7,FALSE
2024,AK,0,TRUE
2024,AZ,1,TRUE
2024,AZ,2,TRUE
2024,AZ,3,FALSE
2024,AZ,4,FALSE
2024,AZ,5,TRUE
2024,AZ,6,TRUE
2024,AZ,7,FALSE
2024,AZ,8,TRUE
2024,AZ,9,TRUE
2024,AR,1,TRUE
2024,AR,2,TRUE
2024,AR,3,TRUE
2024,AR,4,TRUE
2024,CA,1,TRUE
2024,CA,2,FALSE
2024,CA,3,TRUE
2024,CA,4,FALSE
2024,CA,5,TRUE
2024,CA,6,FALSE
2024,CA,7,FALSE
2024,CA,8,FALSE
2024,CA,9,FALSE
2024,CA,10,FALSE
2024,CA,11,FALSE
2024,CA,12,FALSE
2024,CA,13,FALSE
2024,CA,14,FALSE
2024,CA,15,FALSE
2024,CA,16,FALSE
2024,CA,17,FALSE
2024,CA,18,FALSE
2024,CA,19,FALSE
2024,CA,20,TRUE
2024,CA,21,FALSE
2024,CA,22,FALSE
2024,CA,23,TRUE
2024,CA,24,FALSE
2024,CA,25,FALSE
2024,CA,26,FALSE
2024,CA,27,FALSE
2024,CA,28,FALSE
2024,CA,29,FALSE
2024,CA,30,FALSE
2024,CA,31,FALSE
2024,CA,32,FALSE
2024,CA,33,FALSE
2024,CA,34,FALSE
2024,CA,35,FALSE
2024,CA,36,FALSE
2024,CA,37,FALSE
2024,CA,38,FALSE
2024,CA,39,FALSE
2024,CA,40,TRUE
2024,CA,41,TRUE
2024,CA,42,FALSE
2024,CA,43,FALSE
2024,CA,44,FALSE
2024,CA,45,FALSE
2024,CA,46,FALSE
2024,CA,47,FALSE
2024,CA,48,TRUE
2024,CA,49,FALSE
2024,CA,50,FALSE
2024,CA,51,FALSE
2024,CA,52,FALSE
2024,CO,1,FALSE
2024,CO,2,FALSE
2024,CO,3,TRUE
2024,CO,4,TRUE
2024,CO,5,TRUE
2024,CO,6,FALSE
